,Unnamed: 0,drug_name,SE_name,age_id,count,ROR,ROR_upper,ROR_lower
46,46,DB00316,10003549,2,646.0,1.7752899914919555,2.001348437728262,1.574765540311892
29,29,DB00316,10003549,0,455.0,0.6300819001212125,0.7106024329250645,0.5586853949066383
30,30,DB00316,10003549,1,11.0,0.2535383994348572,0.4596280230131876,0.1398559634518733
47,47,DB00316,10003658,2,292.0,2.9377595318610967,3.619741816035792,2.3842670294348403
31,31,DB00316,10003658,0,126.0,0.3918420567796757,0.4830286459807565,0.317869755218293
48,48,DB00316,10007559,2,196.0,3.2905027486150287,4.289719223750672,2.524036603303893
32,32,DB00316,10007559,0,75.0,0.3473003485452688,0.4532517617784907,0.2661159696906205
33,33,DB00316,10008469,2,96.0,0.5117015278221232,0.6487736299350837,0.4035898524446727
49,49,DB00316,10009033,2,136.0,2.795298662820672,3.775657357810152,2.0694925078950788
34,34,DB00316,10009033,0,62.0,0.4163517298167192,0.5623713191628387,0.30824609473226
50,50,DB00316,10009192,1,14.0,32.7380028038391,72.16766421979762,14.851205718947991
51,51,DB00316,10009900,1,24.0,16.72961718410856,27.99540720663699,9.997357390124623
52,52,DB00316,10012378,0,302.0,2.1494072252186127,2.642602146702161,1.748258407186814
35,35,DB00316,10012378,2,123.0,0.5062526901013136,0.6242238341936149,0.4105767389768121
53,53,DB00316,10012735,2,890.0,1.3836409842448527,1.5226156432666187,1.2573510470277174
54,54,DB00316,10014011,1,21.0,5.006438831104507,7.999951707096018,3.1330726343458704
55,55,DB00316,10016288,1,44.0,3.858373652233008,5.306201621018255,2.805593964103661
36,36,DB00316,10016825,2,74.0,0.4427940687469689,0.577132692982481,0.3397253174209749
56,56,DB00316,10017413,2,90.0,2.795218058267978,4.044847863330759,1.9316533667680484
57,57,DB00316,10017955,2,201.0,2.6988789509679365,3.446024579105603,2.113724793532464
37,37,DB00316,10017955,0,91.0,0.4050088860298527,0.5186069879361247,0.3162938440454366
58,58,DB00316,10018884,2,234.0,1.9004450492828864,2.3273258545788598,1.5518632159901753
59,59,DB00316,10019211,0,988.0,1.7715239010248112,1.9722550454868863,1.5912226661980322
38,38,DB00316,10019211,2,424.0,0.4942486315911543,0.5534435503378828,0.4413850512497475
60,60,DB00316,10020100,2,94.0,6.303251814171411,10.321715534814034,3.8492616173006176
39,39,DB00316,10020100,0,19.0,0.1846124208215699,0.3023062961367694,0.1127391204124348
61,61,DB00316,10021972,1,11.0,47.11911111111111,127.48651114716289,17.415259166817698
62,62,DB00316,10022004,0,137.0,2.6161927439574413,3.6354276342471823,1.8827123414747613
40,40,DB00316,10022004,2,42.0,0.3727901847383153,0.5259784566731761,0.2642171367934556
41,41,DB00316,10022524,2,5.0,0.1198440156459916,0.299836851926312,0.0479013436603397
42,42,DB00316,10027313,2,1.0,0.0264655107235565,0.1917509728249288,0.0036527755115911
63,63,DB00316,10027599,0,208.0,3.602341780816402,4.871738678461382,2.6637032817847914
43,43,DB00316,10027599,2,42.0,0.243052363616759,0.3382222801311187,0.1746616202717096
64,64,DB00316,10028245,0,58.0,6.640512656881515,13.908732070925778,3.170411804709419
65,65,DB00316,10028521,1,14.0,45.016310794780544,107.3809737628168,18.871762534472264
66,66,DB00316,10028622,1,12.0,15.422880853586248,31.575102092725032,7.533317014316854
67,67,DB00316,10028813,0,1258.0,1.3991326212612063,1.5288618945149215,1.280411330088356
